[2025-04-13 00:12:00,565]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:00,608]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:00,656]-[main] INFO  Exposed - Extracting table columns took 48ms
[2025-04-13 00:12:00,702]-[main] INFO  Exposed - Extracting primary keys took 46ms
[2025-04-13 00:12:00,929]-[main] INFO  Exposed - Extracting column constraints took 227ms
[2025-04-13 00:12:00,929]-[main] INFO  Exposed - Preparing alter table statements took 321ms
[2025-04-13 00:12:00,974]-[main] INFO  Exposed - Executing alter table statements took 45ms
[2025-04-13 00:12:01,110]-[main] INFO  Exposed - Checking mapping consistence took 136ms
[2025-04-13 00:12:01,158]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:01,201]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:01,249]-[main] INFO  Exposed - Extracting table columns took 48ms
[2025-04-13 00:12:01,294]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:12:01,513]-[main] INFO  Exposed - Extracting column constraints took 219ms
[2025-04-13 00:12:01,513]-[main] INFO  Exposed - Preparing alter table statements took 312ms
[2025-04-13 00:12:01,555]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:01,688]-[main] INFO  Exposed - Checking mapping consistence took 132ms
[2025-04-13 00:12:01,734]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:01,778]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:01,824]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:01,869]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:12:02,454]-[main] INFO  Exposed - Extracting column constraints took 585ms
[2025-04-13 00:12:02,454]-[main] INFO  Exposed - Preparing alter table statements took 676ms
[2025-04-13 00:12:02,499]-[main] INFO  Exposed - Executing alter table statements took 45ms
[2025-04-13 00:12:02,643]-[main] INFO  Exposed - Checking mapping consistence took 144ms
[2025-04-13 00:12:02,688]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:02,730]-[main] INFO  Exposed - Executing create tables statements took 41ms
[2025-04-13 00:12:02,777]-[main] INFO  Exposed - Extracting table columns took 47ms
[2025-04-13 00:12:02,822]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:03,153]-[main] INFO  Exposed - Extracting column constraints took 330ms
[2025-04-13 00:12:03,154]-[main] INFO  Exposed - Preparing alter table statements took 424ms
[2025-04-13 00:12:03,197]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:03,328]-[main] INFO  Exposed - Checking mapping consistence took 131ms
[2025-04-13 00:12:03,373]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:03,415]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:03,461]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:03,505]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:03,617]-[main] INFO  Exposed - Extracting column constraints took 111ms
[2025-04-13 00:12:03,617]-[main] INFO  Exposed - Preparing alter table statements took 201ms
[2025-04-13 00:12:03,661]-[main] INFO  Exposed - Executing alter table statements took 44ms
[2025-04-13 00:12:03,792]-[main] INFO  Exposed - Checking mapping consistence took 131ms
[2025-04-13 00:12:03,838]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:03,879]-[main] INFO  Exposed - Executing create tables statements took 41ms
[2025-04-13 00:12:03,928]-[main] INFO  Exposed - Extracting table columns took 48ms
[2025-04-13 00:12:03,976]-[main] INFO  Exposed - Extracting primary keys took 47ms
[2025-04-13 00:12:04,306]-[main] INFO  Exposed - Extracting column constraints took 330ms
[2025-04-13 00:12:04,306]-[main] INFO  Exposed - Preparing alter table statements took 426ms
[2025-04-13 00:12:04,349]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:04,481]-[main] INFO  Exposed - Checking mapping consistence took 132ms
[2025-04-13 00:12:04,532]-[main] INFO  Exposed - Preparing create tables statements took 49ms
[2025-04-13 00:12:04,577]-[main] INFO  Exposed - Executing create tables statements took 44ms
[2025-04-13 00:12:04,623]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:04,668]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:05,343]-[main] INFO  Exposed - Extracting column constraints took 675ms
[2025-04-13 00:12:05,344]-[main] INFO  Exposed - Preparing alter table statements took 767ms
[2025-04-13 00:12:05,387]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:05,518]-[main] INFO  Exposed - Checking mapping consistence took 131ms
[2025-04-13 00:12:05,563]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:05,605]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:05,650]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:05,696]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:12:05,801]-[main] INFO  Exposed - Extracting column constraints took 105ms
[2025-04-13 00:12:05,801]-[main] INFO  Exposed - Preparing alter table statements took 196ms
[2025-04-13 00:12:05,843]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:05,979]-[main] INFO  Exposed - Checking mapping consistence took 135ms
[2025-04-13 00:12:06,024]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:06,066]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:06,111]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:06,156]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:12:06,375]-[main] INFO  Exposed - Extracting column constraints took 218ms
[2025-04-13 00:12:06,376]-[main] INFO  Exposed - Preparing alter table statements took 310ms
[2025-04-13 00:12:06,418]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:06,549]-[main] INFO  Exposed - Checking mapping consistence took 130ms
[2025-04-13 00:12:06,601]-[main] INFO  Exposed - Preparing create tables statements took 50ms
[2025-04-13 00:12:06,644]-[main] INFO  Exposed - Executing create tables statements took 43ms
